seqlen,method,rep,ms
4096,vmm_paged,23,0.5347200036048889
4096,contiguous,24,0.5310080051422119
4096,vmm_paged,24,0.5347520112991333
4096,contiguous,25,0.5323519706726074
4096,vmm_paged,25,0.535423994064331
4096,contiguous,26,0.5323200225830078
4096,vmm_paged,26,0.5334399938583374
4096,contiguous,27,0.5340800285339355
4096,vmm_paged,27,0.5326719880104065
4096,contiguous,28,0.5343040227890015
4096,vmm_paged,28,0.5325120091438293
4096,contiguous,29,0.5337280035018921
4096,vmm_paged,29,0.5560320019721985
4096,contiguous,30,0.5479999780654907
4096,vmm_paged,30,0.5509120225906372
4096,contiguous,31,0.5484799742698669
4096,vmm_paged,31,0.549888014793396
4096,contiguous,32,0.5505920052528381
4096,vmm_paged,32,0.5555199980735779
4096,contiguous,33,0.5553920269012451
4096,vmm_paged,33,0.5491200089454651
4096,contiguous,34,0.5555840134620667
4096,vmm_paged,34,0.5544639825820923
4096,contiguous,35,0.5545600056648254
4096,vmm_paged,35,0.5480639934539795
4096,contiguous,36,0.5514240264892578
4096,vmm_paged,36,0.5505599975585938
4096,contiguous,37,0.5490880012512207
4096,vmm_paged,37,0.5563200116157532
4096,contiguous,38,0.553600013256073
4096,vmm_paged,38,0.5500800013542175
4096,contiguous,39,0.5495039820671082
4096,vmm_paged,39,0.5546240210533142
4096,contiguous,40,0.5491520166397095
4096,vmm_paged,40,0.5528960227966309
4096,contiguous,41,0.5496000051498413
4096,vmm_paged,41,0.5507519841194153
4096,contiguous,42,0.5507839918136597
4096,vmm_paged,42,0.5599679946899414
4096,contiguous,43,0.5537919998168945
4096,vmm_paged,43,0.5504000186920166
4096,contiguous,44,0.5477120280265808
4096,vmm_paged,44,0.5511360168457031
4096,contiguous,45,0.5523200035095215
4096,vmm_paged,45,0.5590720176696777
4096,contiguous,46,0.5520640015602112
4096,vmm_paged,46,0.5556480288505554
4096,contiguous,47,0.5548800230026245
4096,vmm_paged,47,0.5552319884300232
4096,contiguous,48,0.5612800121307373
4096,vmm_paged,48,0.5549759864807129
4096,contiguous,49,0.5483840107917786
4096,vmm_paged,49,0.5528960227966309
8192,contiguous,0,2.26528000831604
8192,vmm_paged,0,2.080575942993164
8192,contiguous,1,2.0718719959259033
8192,vmm_paged,1,2.069279909133911
8192,contiguous,2,2.0696640014648438
8192,vmm_paged,2,2.0685439109802246
8192,contiguous,3,2.087455987930298
8192,vmm_paged,3,2.070688009262085
8192,contiguous,4,2.0803520679473877
8192,vmm_paged,4,2.069888114929199
8192,contiguous,5,2.0694398880004883
8192,vmm_paged,5,2.072160005569458
8192,contiguous,6,2.0688319206237793
8192,vmm_paged,6,2.067903995513916
8192,contiguous,7,2.08787202835083
8192,vmm_paged,7,2.090208053588867
8192,contiguous,8,2.0791358947753906
8192,vmm_paged,8,2.0742719173431396
8192,contiguous,9,2.0710079669952393
8192,vmm_paged,9,2.0683839321136475
8192,contiguous,10,2.0677759647369385
8192,vmm_paged,10,2.0737600326538086
8192,contiguous,11,2.0671679973602295
8192,vmm_paged,11,2.0740480422973633
8192,contiguous,12,2.069632053375244
8192,vmm_paged,12,2.068448066711426
8192,contiguous,13,2.068959951400757
8192,vmm_paged,13,2.0654399394989014
8192,contiguous,14,2.06659197807312
8192,vmm_paged,14,2.069535970687866
8192,contiguous,15,2.079040050506592
8192,vmm_paged,15,2.077631950378418
8192,contiguous,16,2.0685760974884033
8192,vmm_paged,16,2.0687038898468018
8192,contiguous,17,2.0677120685577393
8192,vmm_paged,17,2.08240008354187
8192,contiguous,18,2.0939199924468994
8192,vmm_paged,18,2.0829761028289795
8192,contiguous,19,2.0832319259643555
8192,vmm_paged,19,2.074399948120117
8192,contiguous,20,2.0677120685577393
8192,vmm_paged,20,2.0706241130828857
8192,contiguous,21,2.06931209564209
8192,vmm_paged,21,2.066240072250366
8192,contiguous,22,2.0722880363464355
8192,vmm_paged,22,2.0824639797210693
8192,contiguous,23,2.084160089492798
8192,vmm_paged,23,2.0685439109802246
8192,contiguous,24,2.068448066711426
8192,vmm_paged,24,2.065056085586548
8192,contiguous,25,2.069983959197998
8192,vmm_paged,25,2.0669760704040527
8192,contiguous,26,2.0649919509887695
8192,vmm_paged,26,2.078752040863037
8192,contiguous,27,2.0708160400390625
8192,vmm_paged,27,2.0708799362182617
8192,contiguous,28,2.0699520111083984
8192,vmm_paged,28,2.068000078201294
8192,contiguous,29,2.064703941345215
8192,vmm_paged,29,2.067456007003784
8192,contiguous,30,2.065279960632324
8192,vmm_paged,30,2.0734078884124756
8192,contiguous,31,2.1108479499816895
8192,vmm_paged,31,2.1015679836273193
8192,contiguous,32,2.069920063018799
8192,vmm_paged,32,2.0768320560455322
