seqlen,branches,method,layers_per_step,rep,ms,ncu_available,nsys_available
1024,16,vmm_paged,28,9,1.0147520303726196,False,True
1024,16,contiguous,28,10,1.0210880041122437,False,True
1024,16,vmm_paged,28,10,1.0280319452285767,False,True
1024,16,contiguous,28,11,1.0188159942626953,False,True
1024,16,vmm_paged,28,11,1.1482239961624146,False,True
1024,16,contiguous,28,12,1.049407958984375,False,True
1024,16,vmm_paged,28,12,1.0189759731292725,False,True
1024,16,contiguous,28,13,1.0206079483032227,False,True
1024,16,vmm_paged,28,13,1.0165760517120361,False,True
1024,16,contiguous,28,14,1.0136640071868896,False,True
1024,16,vmm_paged,28,14,1.0160959959030151,False,True
1024,16,contiguous,28,15,1.015328049659729,False,True
1024,16,vmm_paged,28,15,1.0472639799118042,False,True
1024,16,contiguous,28,16,1.0207040309906006,False,True
1024,16,vmm_paged,28,16,1.018239974975586,False,True
1024,16,contiguous,28,17,1.0133119821548462,False,True
1024,16,vmm_paged,28,17,1.014016032218933,False,True
1024,16,contiguous,28,18,1.0100159645080566,False,True
1024,16,vmm_paged,28,18,1.0106879472732544,False,True
1024,16,contiguous,28,19,1.0149120092391968,False,True
1024,16,vmm_paged,28,19,1.0660799741744995,False,True
1024,16,contiguous,28,20,1.1844160556793213,False,True
1024,16,vmm_paged,28,20,1.0183360576629639,False,True
1024,16,contiguous,28,21,1.0182080268859863,False,True
1024,16,vmm_paged,28,21,1.0103039741516113,False,True
1024,16,contiguous,28,22,1.014016032218933,False,True
1024,16,vmm_paged,28,22,1.0111360549926758,False,True
1024,16,contiguous,28,23,1.0095360279083252,False,True
1024,16,vmm_paged,28,23,1.0142719745635986,False,True
1024,16,contiguous,28,24,1.0103360414505005,False,True
1024,16,vmm_paged,28,24,1.0397759675979614,False,True
1024,16,contiguous,28,25,1.0131839513778687,False,True
1024,16,vmm_paged,28,25,1.0191999673843384,False,True
1024,16,contiguous,28,26,1.012287974357605,False,True
1024,16,vmm_paged,28,26,1.015712022781372,False,True
1024,16,contiguous,28,27,1.0345280170440674,False,True
1024,16,vmm_paged,28,27,1.0185920000076294,False,True
1024,16,contiguous,28,28,1.0380159616470337,False,True
1024,16,vmm_paged,28,28,1.0620800256729126,False,True
1024,16,contiguous,28,29,1.0401599407196045,False,True
1024,16,vmm_paged,28,29,1.0198719501495361,False,True
1024,32,contiguous,28,0,1.0566719770431519,False,True
1024,32,vmm_paged,28,0,1.0304960012435913,False,True
1024,32,contiguous,28,1,1.0202560424804688,False,True
1024,32,vmm_paged,28,1,1.0246399641036987,False,True
1024,32,contiguous,28,2,1.0295679569244385,False,True
1024,32,vmm_paged,28,2,1.0224000215530396,False,True
1024,32,contiguous,28,3,1.0590720176696777,False,True
1024,32,vmm_paged,28,3,1.0187519788742065,False,True
1024,32,contiguous,28,4,1.0697920322418213,False,True
1024,32,vmm_paged,28,4,1.0195519924163818,False,True
1024,32,contiguous,28,5,1.0149760246276855,False,True
1024,32,vmm_paged,28,5,1.021407961845398,False,True
1024,32,contiguous,28,6,1.018847942352295,False,True
1024,32,vmm_paged,28,6,1.0136959552764893,False,True
1024,32,contiguous,28,7,1.0119999647140503,False,True
1024,32,vmm_paged,28,7,1.008895993232727,False,True
1024,32,contiguous,28,8,1.014016032218933,False,True
1024,32,vmm_paged,28,8,1.0091520547866821,False,True
1024,32,contiguous,28,9,1.0130879878997803,False,True
1024,32,vmm_paged,28,9,1.0157439708709717,False,True
1024,32,contiguous,28,10,1.0215040445327759,False,True
1024,32,vmm_paged,28,10,1.0288000106811523,False,True
1024,32,contiguous,28,11,1.0162240266799927,False,True
1024,32,vmm_paged,28,11,1.0200320482254028,False,True
1024,32,contiguous,28,12,1.0156160593032837,False,True
1024,32,vmm_paged,28,12,1.0227839946746826,False,True
1024,32,contiguous,28,13,1.0155199766159058,False,True
1024,32,vmm_paged,28,13,1.012895941734314,False,True
1024,32,contiguous,28,14,1.0126399993896484,False,True
1024,32,vmm_paged,28,14,1.0162240266799927,False,True
1024,32,contiguous,28,15,1.0178560018539429,False,True
1024,32,vmm_paged,28,15,1.0205440521240234,False,True
1024,32,contiguous,28,16,1.016543984413147,False,True
1024,32,vmm_paged,28,16,1.055616021156311,False,True
1024,32,contiguous,28,17,1.014240026473999,False,True
1024,32,vmm_paged,28,17,1.0144000053405762,False,True
1024,32,contiguous,28,18,1.0411200523376465,False,True
1024,32,vmm_paged,28,18,1.0234240293502808,False,True
1024,32,contiguous,28,19,1.0199999809265137,False,True
1024,32,vmm_paged,28,19,1.0369600057601929,False,True
1024,32,contiguous,28,20,1.0157439708709717,False,True
1024,32,vmm_paged,28,20,1.0172480344772339,False,True
1024,32,contiguous,28,21,1.0168960094451904,False,True
1024,32,vmm_paged,28,21,1.0441919565200806,False,True
1024,32,contiguous,28,22,1.0281280279159546,False,True
1024,32,vmm_paged,28,22,1.0494400262832642,False,True
1024,32,contiguous,28,23,1.028831958770752,False,True
1024,32,vmm_paged,28,23,1.0845760107040405,False,True
1024,32,contiguous,28,24,1.0407040119171143,False,True
1024,32,vmm_paged,28,24,1.0281599760055542,False,True
1024,32,contiguous,28,25,1.0185600519180298,False,True
1024,32,vmm_paged,28,25,1.0223040580749512,False,True
1024,32,contiguous,28,26,1.0230720043182373,False,True
1024,32,vmm_paged,28,26,1.0200639963150024,False,True
1024,32,contiguous,28,27,1.057055950164795,False,True
1024,32,vmm_paged,28,27,1.0261119604110718,False,True
1024,32,contiguous,28,28,1.0313600301742554,False,True
1024,32,vmm_paged,28,28,1.0219839811325073,False,True
1024,32,contiguous,28,29,1.0204479694366455,False,True
1024,32,vmm_paged,28,29,1.0209280252456665,False,True
1024,64,contiguous,28,0,1.0487040281295776,False,True
1024,64,vmm_paged,28,0,1.0478399991989136,False,True
1024,64,contiguous,28,1,1.0288000106811523,False,True
1024,64,vmm_paged,28,1,1.0272959470748901,False,True
1024,64,contiguous,28,2,1.0469119548797607,False,True
1024,64,vmm_paged,28,2,1.0499839782714844,False,True
1024,64,contiguous,28,3,1.0628160238265991,False,True
1024,64,vmm_paged,28,3,1.0372159481048584,False,True
1024,64,contiguous,28,4,1.0213439464569092,False,True
1024,64,vmm_paged,28,4,1.0292160511016846,False,True
1024,64,contiguous,28,5,1.0247999429702759,False,True
1024,64,vmm_paged,28,5,1.0343999862670898,False,True
1024,64,contiguous,28,6,1.0394560098648071,False,True
1024,64,vmm_paged,28,6,1.0233279466629028,False,True
1024,64,contiguous,28,7,1.0269440412521362,False,True
1024,64,vmm_paged,28,7,1.0328960418701172,False,True
1024,64,contiguous,28,8,1.021888017654419,False,True
1024,64,vmm_paged,28,8,1.0276800394058228,False,True
1024,64,contiguous,28,9,1.030527949333191,False,True
1024,64,vmm_paged,28,9,1.0291839838027954,False,True
1024,64,contiguous,28,10,1.0235199928283691,False,True
1024,64,vmm_paged,28,10,1.2957439422607422,False,True
1024,64,contiguous,28,11,1.1141760349273682,False,True
1024,64,vmm_paged,28,11,1.0685440301895142,False,True
1024,64,contiguous,28,12,1.0223040580749512,False,True
1024,64,vmm_paged,28,12,1.0502079725265503,False,True
1024,64,contiguous,28,13,1.0181440114974976,False,True
1024,64,vmm_paged,28,13,1.0233279466629028,False,True
1024,64,contiguous,28,14,1.0514559745788574,False,True
1024,64,vmm_paged,28,14,1.022495985031128,False,True
1024,64,contiguous,28,15,1.0213760137557983,False,True
1024,64,vmm_paged,28,15,1.0271999835968018,False,True
1024,64,contiguous,28,16,1.0143040418624878,False,True
1024,64,vmm_paged,28,16,1.0242559909820557,False,True
1024,64,contiguous,28,17,1.0263680219650269,False,True
1024,64,vmm_paged,28,17,1.0241279602050781,False,True
1024,64,contiguous,28,18,1.0289920568466187,False,True
1024,64,vmm_paged,28,18,1.0283199548721313,False,True
1024,64,contiguous,28,19,1.021440029144287,False,True
1024,64,vmm_paged,28,19,1.0315519571304321,False,True
1024,64,contiguous,28,20,1.0241279602050781,False,True
1024,64,vmm_paged,28,20,1.0234240293502808,False,True
1024,64,contiguous,28,21,1.1163519620895386,False,True
1024,64,vmm_paged,28,21,1.033344030380249,False,True
1024,64,contiguous,28,22,1.0240960121154785,False,True
1024,64,vmm_paged,28,22,1.0142719745635986,False,True
1024,64,contiguous,28,23,1.0175039768218994,False,True
1024,64,vmm_paged,28,23,1.0214719772338867,False,True
1024,64,contiguous,28,24,1.028480052947998,False,True
1024,64,vmm_paged,28,24,1.0257600545883179,False,True
1024,64,contiguous,28,25,1.0202239751815796,False,True
1024,64,vmm_paged,28,25,1.0251840353012085,False,True
1024,64,contiguous,28,26,1.022528052330017,False,True
1024,64,vmm_paged,28,26,1.027359962463379,False,True
1024,64,contiguous,28,27,1.0147839784622192,False,True
1024,64,vmm_paged,28,27,1.018720030784607,False,True
1024,64,contiguous,28,28,1.0324159860610962,False,True
1024,64,vmm_paged,28,28,1.0371520519256592,False,True
1024,64,contiguous,28,29,1.036255955696106,False,True
1024,64,vmm_paged,28,29,1.0251840353012085,False,True
2048,1,contiguous,28,0,1.3711680173873901,False,True
2048,1,vmm_paged,28,0,1.308608055114746,False,True
2048,1,contiguous,28,1,1.304800033569336,False,True
2048,1,vmm_paged,28,1,1.2944639921188354,False,True
2048,1,contiguous,28,2,1.3111679553985596,False,True
2048,1,vmm_paged,28,2,1.2948479652404785,False,True
2048,1,contiguous,28,3,1.3096959590911865,False,True
2048,1,vmm_paged,28,3,1.2981120347976685,False,True
2048,1,contiguous,28,4,1.315392017364502,False,True
2048,1,vmm_paged,28,4,1.2976319789886475,False,True
2048,1,contiguous,28,5,1.3125439882278442,False,True
2048,1,vmm_paged,28,5,1.2920639514923096,False,True
2048,1,contiguous,28,6,1.2913600206375122,False,True
2048,1,vmm_paged,28,6,1.2887359857559204,False,True
2048,1,contiguous,28,7,1.3116480112075806,False,True
2048,1,vmm_paged,28,7,1.2834559679031372,False,True
2048,1,contiguous,28,8,1.3059519529342651,False,True
2048,1,vmm_paged,28,8,1.397312045097351,False,True
2048,1,contiguous,28,9,1.4463679790496826,False,True
2048,1,vmm_paged,28,9,1.292639970779419,False,True
2048,1,contiguous,28,10,1.298975944519043,False,True
2048,1,vmm_paged,28,10,1.2925759553909302,False,True
2048,1,contiguous,28,11,1.301632046699524,False,True
2048,1,vmm_paged,28,11,1.2889599800109863,False,True
2048,1,contiguous,28,12,1.3021119832992554,False,True
2048,1,vmm_paged,28,12,1.2875839471817017,False,True
2048,1,contiguous,28,13,1.2940800189971924,False,True
2048,1,vmm_paged,28,13,1.2883199453353882,False,True
2048,1,contiguous,28,14,1.2956479787826538,False,True
2048,1,vmm_paged,28,14,1.2859200239181519,False,True
2048,1,contiguous,28,15,1.3019520044326782,False,True
2048,1,vmm_paged,28,15,1.2887680530548096,False,True
2048,1,contiguous,28,16,1.305791974067688,False,True
2048,1,vmm_paged,28,16,1.2922559976577759,False,True
2048,1,contiguous,28,17,1.3064320087432861,False,True
2048,1,vmm_paged,28,17,1.285215973854065,False,True
2048,1,contiguous,28,18,1.3022719621658325,False,True
2048,1,vmm_paged,28,18,1.2989439964294434,False,True
2048,1,contiguous,28,19,1.306272029876709,False,True
2048,1,vmm_paged,28,19,1.2908480167388916,False,True
2048,1,contiguous,28,20,1.30457603931427,False,True
2048,1,vmm_paged,28,20,1.2925759553909302,False,True
2048,1,contiguous,28,21,1.2962559461593628,False,True
